input_id	dealiased_id	standard_id	short_id
wikidata:Q99418649	wikidata:Q99418649	wikidata:Q99418649	pNGap1Du
wikidata:Q46368626	wikidata:Q46368626	wikidata:Q46368626	1GmbExweg
wikidata:Q104450645	wikidata:Q104450645	wikidata:Q104450645	kkwRTArg
wikidata:Q56524391	wikidata:Q56524391	wikidata:Q56524391	1DSEIjFha
url:https://data.humancellatlas.org/about	url:https://data.humancellatlas.org/about	url:https://data.humancellatlas.org/about	zDRzmIGu
url:https://5stardata.info/en	url:https://5stardata.info/en	url:https://5stardata.info/en	UI1dtNSw
wikidata:Q102383784	wikidata:Q102383784	wikidata:Q102383784	POzqtz7B
wikidata:Q87830400	wikidata:Q87830400	wikidata:Q87830400	3GqlN9Dk
url:https://en.wikipedia.org/wiki/Literature-based_discovery	url:https://en.wikipedia.org/wiki/Literature-based_discovery	url:https://en.wikipedia.org/wiki/Literature-based_discovery	jXryyPLB
wikidata:Q38371706	wikidata:Q38371706	wikidata:Q38371706	Fuf8oc85
wikidata:Q36280460	wikidata:Q36280460	wikidata:Q36280460	LNtevqb9
wikidata:Q91595456	wikidata:Q91595456	wikidata:Q91595456	Lbqx9XBK
wikidata:Q47406275	wikidata:Q47406275	wikidata:Q47406275	CovO24JR
wikidata:Q105870680	wikidata:Q105870680	wikidata:Q105870680	DLTMbf54
wikidata:Q105105637	wikidata:Q105105637	wikidata:Q105105637	cZEmYsqx
wikidata:Q104130127	wikidata:Q104130127	wikidata:Q104130127	18wkLcGxT
wikidata:Q23781406	wikidata:Q23781406	wikidata:Q23781406	2KmDs8gy
wikidata:Q19671692	wikidata:Q19671692	wikidata:Q19671692	j3tJyG7J
wikidata:Q101955295	wikidata:Q101955295	wikidata:Q101955295	qMozvNth
wikidata:Q24074986	wikidata:Q24074986	wikidata:Q24074986	xLpRePoh
